"Year","Economy_Label","Flow_Label","US_at_current_prices_in_millions_Value"
"1949-01-01 00:00:00","Hong_Kong","Exports",526.0
"1949-01-01 00:00:00","Hong_Kong","Imports",624.0
"1949-01-01 00:00:00","Taiwan","Exports",17.0
"1949-01-01 00:00:00","Taiwan","Imports",59.0
"1949-01-01 00:00:00","Colombia","Exports",335.0
"1949-01-01 00:00:00","Colombia","Imports",265.0
"1949-01-01 00:00:00","Denmark","Exports",685.0
"1949-01-01 00:00:00","Denmark","Imports",811.0
"1949-01-01 00:00:00","Egypt","Exports",527.0
"1949-01-01 00:00:00","Egypt","Imports",680.0
"1949-01-01 00:00:00","Finland","Exports",469.0
"1949-01-01 00:00:00","Finland","Imports",400.0
"1949-01-01 00:00:00","France","Exports",2840.0
"1949-01-01 00:00:00","France","Imports",2863.0
"1949-01-01 00:00:00","Germany","Exports",0.0
"1949-01-01 00:00:00","Germany","Imports",0.0
"1949-01-01 00:00:00","Hungary","Exports",387.0
"1949-01-01 00:00:00","Hungary","Imports",286.0
"1949-01-01 00:00:00","India","Exports",1197.0
"1949-01-01 00:00:00","India","Imports",1840.0
"1949-01-01 00:00:00","Indonesia","Exports",0.0
"1949-01-01 00:00:00","Indonesia","Imports",0.0
"1949-01-01 00:00:00","Israel","Exports",29.0
"1949-01-01 00:00:00","Israel","Imports",329.0
"1949-01-01 00:00:00","Italy","Exports",1121.0
"1949-01-01 00:00:00","Italy","Imports",1545.0
"1949-01-01 00:00:00","Japan","Exports",510.0
"1949-01-01 00:00:00","Japan","Imports",905.0
"1949-01-01 00:00:00","Malaysia","Exports",594.0
"1949-01-01 00:00:00","Malaysia","Imports",453.0
"1949-01-01 00:00:00","Mexico","Exports",428.0
"1949-01-01 00:00:00","Mexico","Imports",440.0
"1949-01-01 00:00:00","Netherlands","Exports",1484.0
"1949-01-01 00:00:00","Netherlands","Imports",2073.0
"1949-01-01 00:00:00","Norway","Exports",388.0
"1949-01-01 00:00:00","Norway","Imports",766.0
"1949-01-01 00:00:00","Peru","Exports",155.0
"1949-01-01 00:00:00","Peru","Imports",167.0
"1949-01-01 00:00:00","Philippines","Exports",248.0
"1949-01-01 00:00:00","Philippines","Imports",645.0
"1949-01-01 00:00:00","Poland","Exports",692.0
"1949-01-01 00:00:00","Poland","Imports",632.0
"1949-01-01 00:00:00","Portugal","Exports",157.0
"1949-01-01 00:00:00","Portugal","Imports",347.0
"1949-01-01 00:00:00","South_Korea","Exports",14.0
"1949-01-01 00:00:00","South_Korea","Imports",139.0
"1949-01-01 00:00:00","Russia","Exports",0.0
"1949-01-01 00:00:00","Russia","Imports",0.0
"1949-01-01 00:00:00","Saudi_Arabia","Exports",338.0
"1949-01-01 00:00:00","Saudi_Arabia","Imports",130.0
"1949-01-01 00:00:00","South_Africa","Exports",1156.0
"1949-01-01 00:00:00","South_Africa","Imports",1268.0
"1949-01-01 00:00:00","Spain","Exports",403.0
"1949-01-01 00:00:00","Spain","Imports",466.0
"1949-01-01 00:00:00","Sweden","Exports",1151.0
"1949-01-01 00:00:00","Sweden","Imports",1175.0
"1949-01-01 00:00:00","Switzerland","Exports",791.0
"1949-01-01 00:00:00","Switzerland","Imports",867.0
"1949-01-01 00:00:00","Thailand","Exports",274.0
"1949-01-01 00:00:00","Thailand","Imports",193.0
"1949-01-01 00:00:00","Tunisia","Exports",79.0
"1949-01-01 00:00:00","Tunisia","Imports",121.0
"1949-01-01 00:00:00","Turkiye","Exports",248.0
"1949-01-01 00:00:00","Turkiye","Imports",346.0
"1949-01-01 00:00:00","Ukraine","Exports",0.0
"1949-01-01 00:00:00","Ukraine","Imports",0.0
"1949-01-01 00:00:00","United_Kingdom","Exports",6875.0
"1949-01-01 00:00:00","United_Kingdom","Imports",8480.0
"1949-01-01 00:00:00","United_States","Exports",12051.0
"1949-01-01 00:00:00","United_States","Imports",7544.0
"1949-01-01 00:00:00","Venezuela","Exports",863.0
"1949-01-01 00:00:00","Venezuela","Imports",801.0
